,IDNK,C4orf33,INPP1,S100A4,NQO1,NSUN3,CCNI,C16orf58,RP11-386I14,G6PD,HLA-DPB1,ERGIC2,SIRT6,LACTB,NSL1,NUDT18,CD247,UNC45A,ATXN10,MRPL14,STAMBPL1,TMEM129,PHF1,CD46,HIST1H1E,MX1,WDR4,TBC1D7,OSTF1,CLEC2D,RPS11,HSPA5,PRKAR1A,EBPL,LGALS8,COX6C,CCDC92,RBM10,SAMSN1,LETMD1,SVIP,GCLM,BLZF1,TMEM71,AKAP8L,DHRS7,GPR114,GMFB,KIAA0947,HSPA14,NSMCE1,LENG1,UBA1,CDIPT,TRAPPC6A,ERGIC1,C1orf174,PMM1,PTP4A1,HPS4,RP5-827C21,FYN,AHSA2,CLINT1,THRAP3,SUDS3,PIM2,USP11,UBE2F,GAB3,RTN3,VAPA,RP11-1094M14,FLI1,TAGAP,WDR1,C6orf1,PASK,SLC52A2,USP48,STAG2,SYPL1,BAK1,MCMBP,PANK2,SNHG15,FCHO1,CAPG,WDR60,COX11,ATE1,ZMYM2,RSU1,PIK3R1,KBTBD4,SSU72,THEM4,SF3A2,BRK1,COPB1
SVIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,0,0,0,0,0,-0.0476190476190476,0,0,0,0,0,0,0,0,0.997619047619048,0,-0.25,0,0,0,0,0,0,0,0,0,0,-0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCLM,-0.25,0,0,0,-0.25,0,0,0,0,-0.2,0,-0.142857142857143,-0.75,0,0,0,0,-0.2,0,0,0,0,0,0,0,-0.142857142857143,0,0,0,0,0,-0.0909090909090909,-0.0909090909090909,0,0,0,0,0,0,0,0,4.9262987012987,0,0,0,0,0,0,0,-0.166666666666667,0,0,-0.3,-0.222222222222222,0,-0.142857142857143,0,-0.4,0,0,0,-0.222222222222222,-0.25,0,0,0,0,0,0,0,-0.111111111111111,-0.1,0,0,0,-0.111111111111111,0,0,0,0,0,0,-0.4,0,0,0,0,0,0,0,-0.166666666666667,0,0,-0.0909090909090909,0,0,0,0,0,-0.125
BLZF1,0,0,0,0,0,0,0,0,0,-0.0833333333333333,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,-0.2,0,-0.125,0,0,0,0,-0.125,-0.0416666666666667,0,0,0,0,0,0,0,0,-0.25,0,2.5729908979909,0,0,0,0,0,0,0,0,0,-0.0769230769230769,-0.0909090909090909,0,0,0,0,0,-0.166666666666667,0,0,0,-0.142857142857143,0,0,0,-0.111111111111111,0,0,0,-0.333333333333333,0,0,0,0,0,-0.166666666666667,0,-0.333333333333333,0,-0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,-0.0833333333333333,0,0,0,0,0,0
TMEM71,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,-0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,-0.333333333333333,0,0,0,0,0,0,0,0,-0.333333333333333,0,0,0,0,2.14285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.333333333333333,0,0,0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKAP8L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHRS7,0,0,0,0,0,0,0,0,0,0,0,-0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0454545454545455,0,0,0,0,0,-0.166666666666667,0,0,0,0,0,0,0,2.14545454545455,0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,0,-0.333333333333333,0,0,0,0,0,0,-0.2,0,-0.333333333333333,0,0,0,0,0,0,0
GPR114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMFB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0476190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,2.04761904761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,-0.5,0,0,0,0,0,0,-0.25,0,-0.5,0,0,0,0,0,0,0
KIAA0947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSPA14,0,0,0,0,-0.1,0,0,0,0,-0.0833333333333333,0,-0.285714285714286,-0.142857142857143,0,0,0,0,-0.166666666666667,0,0,-0.1,0,0,0,0,-0.125,0,0,0,0,0,-0.0869565217391304,0,0,0,0,0,0,0,0,0,-0.166666666666667,0,0,0,0,0,0,0,3.19335290313551,0,-0.166666666666667,-0.0769230769230769,-0.0909090909090909,0,-0.285714285714286,0,-0.142857142857143,0,0,0,-0.0909090909090909,-0.2,0,0,0,0,-0.111111111111111,0,0,-0.1,-0.0909090909090909,0,0,0,-0.1,0,0,0,0,0,0,-0.142857142857143,0,0,0,0,0,0,0,-0.142857142857143,0,0,-0.0833333333333333,0,0,0,0,0,-0.111111111111111
NSMCE1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,2.28333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,-0.5,0,0,-0.333333333333333,0,0,0,0
LENG1,0,0,0,0,-0.25,0,0,0,0,-0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.142857142857143,0,0,0,0,0,-0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166666666666667,0,0.793290043290043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBA1,-0.0909090909090909,0,0,0,-0.133333333333333,0,0,0,0,-0.117647058823529,0,-0.0714285714285714,-0.272727272727273,0,0,0,0,-0.0833333333333333,0,0,-0.133333333333333,0,0,0,0,-0.0714285714285714,0,0,0,0,-0.153846153846154,-0.107142857142857,-0.117647058823529,0,0,0,0,-0.0714285714285714,0,0,0,-0.3,-0.0769230769230769,0,0,0,0,0,0,-0.0769230769230769,0,0,4.06473828459123,-0.125,0,-0.0714285714285714,0,-0.166666666666667,-0.0909090909090909,0,0,-0.125,-0.0909090909090909,-0.0769230769230769,-0.0769230769230769,0,0,-0.230769230769231,0,0,-0.0625,-0.125,0,0,-0.0625,-0.133333333333333,0,0,0,-0.166666666666667,-0.0625,-0.0769230769230769,-0.166666666666667,0,0,0,0,0,0,0,-0.0769230769230769,0,0,-0.0555555555555556,0,0,0,-0.0769230769230769,0,-0.0666666666666667
CDIPT,-0.25,0,0,0,-0.153846153846154,0,-0.0909090909090909,0,0,-0.133333333333333,0,-0.0833333333333333,-0.2,0,0,0,-0.0714285714285714,-0.1,0,0,-0.0714285714285714,0,0,0,0,-0.181818181818182,0,0,0,0,0,-0.208333333333333,-0.214285714285714,-0.125,0,0,0,0,0,0,-0.125,-0.222222222222222,-0.0909090909090909,0,0,0,0,0,0,-0.0909090909090909,0,0,-0.125,4.66910728160728,0,-0.0833333333333333,0,-0.2,0,0,0,-0.230769230769231,-0.111111111111111,-0.0909090909090909,0,0,0,0,0,-0.1,-0.153846153846154,-0.142857142857143,0,0,0,-0.0714285714285714,0,-0.1,0,0,0,-0.2,-0.0909090909090909,0,0,0,0,0,0,0,-0.0909090909090909,-0.111111111111111,0,-0.0625,0,0,-0.125,0,0,-0.166666666666667
TRAPPC6A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERGIC1,0,0,0,0,-0.0909090909090909,0,0,0,0,-0.0769230769230769,0,-0.428571428571429,-0.125,0,0,0,0,-0.142857142857143,0,0,-0.0909090909090909,0,0,0,0,-0.25,0,0,0,-0.142857142857143,-0.111111111111111,-0.0833333333333333,-0.0769230769230769,0,0,0,0,0,0,0,0,-0.142857142857143,0,0,0,0,0,0,0,-0.285714285714286,0,0,-0.0714285714285714,-0.0833333333333333,0,3.84050949050949,0,-0.125,0,0,0,-0.0833333333333333,-0.166666666666667,-0.125,0,0,0,-0.1,0,0,-0.0909090909090909,-0.181818181818182,0,0,0,-0.0909090909090909,0,0,0,0,0,0,-0.125,0,0,0,0,0,0,0,-0.125,0,0,-0.0769230769230769,0,0,0,-0.125,0,-0.222222222222222
C1orf174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMM1,-0.2,0,-0.2,0,-0.222222222222222,0,0,0,0,-0.3,0,-0.125,-0.333333333333333,0,0,0,0,-0.166666666666667,0,0,0,0,0,0,0,-0.125,0,0,0,0,0,-0.0869565217391304,-0.0833333333333333,0,0,0,0,0,0,0,0,-0.4,0,0,0,0,0,0,0,-0.142857142857143,0,0,-0.166666666666667,-0.2,0,-0.125,0,4.43547744526005,0,0,0,-0.0909090909090909,-0.2,0,0,0,-0.166666666666667,0,0,0,-0.222222222222222,-0.2,0,0,0,-0.1,0,0,0,0,0,0,-0.142857142857143,0,0,0,0,0,0,0,-0.142857142857143,0,0,-0.181818181818182,0,0,0,0,0,-0.111111111111111
PTP4A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125,0,0,0,0,0,0,0,0,0,-0.166666666666667,0,0,0,0,0,0,-0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0909090909090909,0,0,0,0,0,1.58257575757576,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,-0.25,0,-0.2,0,0,0,-0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPS4,0,0,0,0,0,0,0,0,0,-0.0909090909090909,0,-0.142857142857143,0,0,0,0,-0.25,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,-0.142857142857143,-0.0434782608695652,0,0,0,0,0,0,0,0,0,0,-0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88045517284648,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,-0.111111111111111,0,0,-0.2,0,-0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0909090909090909,0,0,0,0,0,-0.125
RP5-827C21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FYN,0,0,0,0,-0.0714285714285714,0,-0.0909090909090909,0,0,-0.133333333333333,-0.111111111111111,-0.0833333333333333,-0.2,0,0,0,-0.0714285714285714,-0.1,0,0,0,0,0,0,0,-0.0833333333333333,0,0,0,-0.1,0,-0.0740740740740741,-0.133333333333333,0,0,0,0,0,-0.1,0,0,-0.222222222222222,0,0,0,0,0,0,0,-0.0909090909090909,0,0,-0.125,-0.230769230769231,0,-0.0833333333333333,0,-0.0909090909090909,0,0,0,3.68813778813779,-0.111111111111111,0,0,0,0,0,0,-0.1,-0.0714285714285714,-0.0666666666666667,0,0,-0.153846153846154,-0.0714285714285714,0,-0.1,0,0,0,0,-0.2,0,0,0,0,0,0,0,-0.0909090909090909,-0.111111111111111,0,-0.214285714285714,0,0,-0.125,0,0,-0.0769230769230769
AHSA2,0,0,0,0,-0.125,0,0,0,0,-0.1,0,-0.166666666666667,-0.2,0,0,0,0,-0.666666666666667,0,0,0,0,0,0,0,-0.166666666666667,0,0,0,0,-0.166666666666667,-0.0454545454545455,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,-0.2,0,0,-0.0909090909090909,-0.111111111111111,0,-0.166666666666667,0,-0.2,0,0,0,-0.111111111111111,3.77088744588745,0,0,0,0,0,0,0,-0.125,-0.111111111111111,0,0,0,-0.125,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,0,-0.2,0,0,-0.1,0,0,0,0,0,-0.142857142857143
